full_formula,task_id,formation_energy_per_atom
Nb10Si2B4,mp-1209930,-0.6428829066666673
Na2Br2F8,mp-1210052,-1.8978018848419538
Na5Cu3As4H1O16,mp-1210224,-1.7048101757847796
Na6Ti2F12,mp-1210257,-3.263484376798851
Rb8Mg8Mo12O48,mp-1210378,-2.3399519601315784
Lu6Sb2O14,mp-1210508,-3.469872921818181
Pr12In1Co6,mp-1210767,-0.1141209289473684
Li4Ce4Si6,mp-1210884,-0.5300793830952379
Nb2Ni22B8O40,mp-1211101,-1.8616179076851849
Li2Sc2W4O16,mp-1211126,-2.6289598052777783
La4Al18Rh6,mp-1211312,-0.7947527146428571
K2Sc2W4O16,mp-1211497,-2.624759325666666
K8Co2Mo6O24,mp-1211822,-2.099508726600001
Na4V16Bi52O120,mp-1212549,-1.927600467428162
Ho6Co30Si18,mp-1212707,-0.5959399053703704
Dy4Ni4As4,mp-1212806,-1.0536094824999995
Er3Ga9Os3,mp-1213036,-0.4854178435000004
Cs2Y2W4O16,mp-1213335,-2.639621129549809
Cs2Y2Mn2Se6,mp-1213646,-1.5742054865933308
Cs4La24Fe4I40,mp-1213677,-1.4950525405795025
Cs3Ca2Cl7,mp-1213703,-2.5824320828160925
Ce6Zr2Sb10,mp-1213800,-1.0611267144444436
Cs8Mg8Mo12O48,mp-1213820,-2.3477487080716877
Ce3Al11,mp-1213865,-0.3550712846428574
Ce4Tl4P16O48,mp-1214015,-2.781022514675927
Ba4Li1Bi3O12,mp-1214461,-2.1961263576666665
Ba8Dy2Cu6O18,mp-1214524,-2.390864987941177
Ba10Cr6O24F2,mp-1214531,-2.763061123928571
Ba8Sn18Bi6,mp-1214568,-0.4683173293750005
Ba8Dy4Cl28,mp-1214746,-2.871579293
Zr6Al7Cu16H3,mp-1215380,-0.3725116807812503
Yb1Mn1Cu1P2,mp-1215514,-0.6590504029195408
V2Sb2Se8O24,mp-1216305,-1.540754288576389
V2Fe2Sb2O12,mp-1216330,-2.0589076161111115
Ti10Cr1Sb5,mp-1217253,-0.5019634714583328
Tb2Fe1Co3,mp-1217710,-0.16352208916666675
Ta13Fe13,mp-1218218,-0.19084300576922977
Sr4Fe1Ru1O8,mp-1218399,-2.558125801547619
Sn4Te4Pt4,mp-1218898,-0.6521510300000001
Sm1Ga3Ni1,mp-1219031,-0.6035025935
Sm6Cd1Ge2S14,mp-1219158,-1.800916151467392
K8Zn8Mo12O48,mp-12194,-2.045391098210527
Pr2Al2Zn2,mp-1219678,-0.4290710700000003
Pr2Ni3P4,mp-1219846,-0.986518014814815
Nb1Mo1W1,mp-1220335,-0.05772061666666654
Na9Eu6Ge6S24,mp-1221587,-1.3910154427547892
Mg4B3Ir2,mp-1222183,-0.3407973274999997
Li1Zr2S4,mp-1222722,-1.8295320194047622
K8P8Pd4O28,mp-1224154,-2.377101710013888
La18In2Si6S42,mp-1224434,-2.026305611047794
Fe6Mo12Rh2N4,mp-1224957,-0.23501602791666562
Er4Mn2Ge8O24,mp-1225782,-2.674259645417424
K60Ga18Sb38,mp-1225850,-0.5034346882327587
Ce1Al2Ag3,mp-1226637,-0.2640738124999995
Ce2Zn1Sb4,mp-1226796,-0.8105249142857147
Ce1Y1Mg2Ni8,mp-1226870,-0.3939963426388881
Cs3K5Mo8P8O44,mp-1227037,-2.445731870668527
Ca14Tl2N8,mp-1227114,-0.8752681148611116
Ba1Zn1In3,mp-1227349,-0.3493119159999999
Ba4Ta10Fe1O30,mp-1228547,-3.354702215555556
Ba4Ag16S14,mp-1228614,-0.7468066026593142
Ca2Pr19Co3I36,mp-1228704,-1.507841814
Ba1Cr10S16,mp-1229162,-1.1331171451851854
Ho4Mg2S8,mp-1232270,-2.174437016785714
Ba12Na12,mp-1247744,-0.02099958035919573
Zn6Sb2N6,mp-1271278,-0.050643172857142815
Sc2Al4Ni2,mp-12781,-0.6569232937500002
Pr2Mg4Cu18,mp-13220,-0.16225359749999946
Ca4Sb2O1,mp-13660,-1.780708279285714
Ti2P4S12,mp-13666,-0.919897827638889
Pd4S8,mp-13682,-0.6052978995833337
K2Na1Rh1F6,mp-14039,-2.6403530157551724
K2Mg2P6O18,mp-14058,-2.80656008557143
Na12V4P32O92,mp-14391,-2.6249874448949098
Li56Nb8N32,mp-14827,-0.8888692798611105
Er2Ir4,mp-1495,-0.8424396366666672
Lu8C14,mp-15178,-0.3257143722727278
Er2Cu4O8,mp-15186,-2.092032177857142
Sr1Ca1Dy1Bi1O6,mp-1520532,-2.8335430046666668
Ti2P2O8F2,mp-1541018,-3.167649186309524
Bi2P2O8,mp-1541522,-2.4122909013888894
K1Sm1S2,mp-15783,-2.1102096860624995
Ho4Ge4Os2,mp-15827,-0.6964723999999997
Zr3Cu4Ge2,mp-15985,-0.484777212222222
Sr4Gd2Ru2O12,mp-16796,-2.8288810098333337
Ba16Sb24,mp-16922,-0.9623580352500006
Zn12Si4Ni8,mp-17260,-0.331853825833333
Ba8Ta4N12,mp-17400,-1.2545053299999995
Sr6Sc2B6O18,mp-17562,-3.3299280914062512
Li4In4Ge4O16,mp-17854,-2.1731072751190474
Ti6Au2,mp-1786,-0.35333610999999987
Ag2Au4F16,mp-18125,-1.3853788765151516
Ga4As2Rh10,mp-18561,-0.5159877050000006
Rb1Fe1Mo2O8,mp-18868,-2.0151268297916674
K4Mo2O8,mp-18914,-2.210227617285715
Ba8Mn4B24O48,mp-18990,-2.9541112919252877
Na2O4,mp-1901,-0.9140585888505743
Na4Ni4O8,mp-19149,-1.3379307347629306
La4Cr4O12,mp-19281,-3.1966233445
W2O6,mp-19443,-2.1849477787500007
Ca1Mn2Ge2,mp-19824,-0.3382676931724141
Dy8Ti12Si16,mp-19950,-0.7768737763888893
Ce2In8Co1,mp-19989,-0.3045550304545456
Ce4Ge4Ir4,mp-20022,-0.8868443891666663
Tb4Ge8Pt4,mp-20054,-0.8783103587499994
Yb1In3,mp-20469,-0.34611858500000015
Co3Sn3,mp-20536,-0.10842913833333394
V8P4,mp-20541,-0.7870825419444442
Ce4Ni4Ge4,mp-20616,-0.7390951174999998
Rh2F6,mp-2068,-1.8373123318749998
Ta6Pb2S12,mp-20784,-1.346140738874999
Gd1Si2Ni2,mp-20956,-0.8110819359999979
La8Ge8O28,mp-21532,-3.036388924318182
Si12Pb12O36,mp-21723,-2.595927286166668
In6Ge2Pt1O9,mp-22186,-1.7544686541666674
